	35	45	313	23	467	46	751-60-9547	ssnOfEmployee
39	1052	1053	17	602	44	618	MA	OTHER
40	1065	1074	132	597	270	624	263-17-772	OTHER
41	1091	1098	348	597	458	625	73203.22	OTHER
42	1109	1115	541	598	637	623	4024.39	OTHER
43	1117	1125	726	598	853	624	187325.56	OTHER
44	1136	1143	929	598	1040	623	24101.06	OTHER
45	1146	1147	18	653	44	670	KY	OTHER
46	1160	1169	132	648	270	674	393-82-850	OTHER
47	1185	1192	348	648	457	675	81786.28	OTHER
48	1203	1208	539	648	623	674	3825.5	OTHER
49	1211	1219	725	647	850	675	199953.29	OTHER
50	1230	1237	927	647	1036	675	28350.21	OTHER
51	1255	1258	140	683	206	708	Wage	OTHER
52	1260	1262	211	684	258	708	and	OTHER
53	1264	1266	264	684	305	708	Tax	OTHER
54	1298	1301	550	690	703	740	2019	taxYear
55	1303	1306	5	723	34	740	from	OTHER
56	1308	1309	49	723	76	741	WE	OTHER
57	1319	1327	142	715	256	739	Statement	OTHER
58	1329	1332	6	745	47	765	Copy	OTHER
59	1334	1337	51	745	97	765	B-To	OTHER
60	1339	1340	100	745	122	765	Be	OTHER
61	1342	1347	126	745	163	765	Filled	OTHER
62	1349	1353	167	745	203	766	withh	OTHER
63	1355	1364	206	745	296	766	Empinger's	OTHER
64	1366	1372	300	744	379	766	FEDERAL	OTHER
65	1374	1376	384	744	412	766	Tax	OTHER
66	1378	1383	416	744	472	766	Resume	OTHER
67	1423	1433	314	898	464	923	751-60-9547	OTHER
68	1441	1450	66	948	205	975	63-7847782	OTHER
69	1502	1510	725	948	852	973	161516.46	OTHER
70	1524	1531	986	949	1095	972	22767.08	OTHER
71	1539	1543	64	1002	139	1025	Pace,	OTHER
72	1545	1551	148	1001	249	1025	Allison	OTHER
73	1553	1555	261	1001	308	1025	and	OTHER
74	1557	1563	315	1000	419	1026	Wallace	OTHER
75	1565	1567	431	1000	473	1026	Inc	OTHER
76	1600	1608	726	999	848	1025	202813.67	OTHER
77	1623	1630	987	999	1097	1023	15515.25	OTHER
78	1638	1640	67	1033	112	1059	762	OTHER
79	1642	1647	122	1034	209	1059	Sheila	OTHER
80	1649	1652	219	1035	279	1059	Glen	OTHER
81	1721	1729	725	1050	849	1075	152626.32	OTHER
82	1749	1755	1051	1051	1148	1074	4426.16	OTHER
83	1763	1771	62	1067	197	1093	Mistystad	OTHER
84	1773	1774	207	1068	237	1093	IL	OTHER
85	1776	1785	263	1066	403	1093	71232-7450	OTHER
86	1855	1863	726	1101	849	1127	202813.67	OTHER
87	1882	1890	1051	1101	1175	1126	152626.32	OTHER
88	1899	1905	68	1153	164	1177	7802476	OTHER
89	1988	1990	1050	1154	1088	1174	110	OTHER
90	1999	2002	64	1224	133	1252	Kurt	OTHER
91	2004	2008	161	1225	243	1252	Clark	OTHER
92	2060	2062	726	1212	762	1231	163	OTHER
93	2089	2092	1052	1207	1104	1233	7569	OTHER
94	2100	2104	66	1263	149	1291	61927	OTHER
95	2106	2111	159	1263	261	1292	Willis	OTHER
96	2113	2117	274	1264	351	1292	Coves	OTHER
97	2190	2192	1051	1262	1089	1287	485	OTHER
98	2200	2203	65	1303	133	1331	Lake	OTHER
99	2205	2215	144	1302	323	1331	Nicolemouth	OTHER
100	2217	2218	339	1302	372	1331	SD	OTHER
101	2220	2229	419	1302	578	1331	93927-0771	OTHER
102	2327	2329	1051	1320	1091	1348	494	OTHER
103	2423	2423	1007	1381	1022	1403	Y	OTHER
104	2425	2427	1051	1380	1091	1405	550	OTHER
105	2444	2453	132	1454	271	1479	263-17-772	OTHER
106	2468	2475	349	1453	461	1479	73203.22	box16StateWagesTips
107	2488	2494	541	1454	636	1478	4024.39	box17StateIncomeTax
108	2496	2504	725	1455	853	1480	187325.56	OTHER
109	2515	2522	928	1455	1040	1478	24101.06	OTHER
110	2525	2526	18	1510	43	1526	KY	OTHER
111	2538	2547	133	1504	270	1531	393-82-850	OTHER
112	2562	2569	348	1506	457	1531	81786.28	OTHER
113	2582	2587	539	1505	622	1531	3825.5	OTHER
114	2590	2598	726	1503	850	1531	199953.29	OTHER
115	2609	2616	929	1505	1036	1532	28350.21	OTHER
116	2633	2636	139	1539	206	1563	Wage	OTHER
117	2638	2640	211	1539	258	1563	and	OTHER
118	2642	2644	265	1539	305	1563	Tax	OTHER
119	2677	2680	550	1544	698	1596	2019	OTHER
120	2682	2684	4	1575	31	1593	for	OTHER
121	2686	2687	49	1574	77	1594	Wa	OTHER
122	2697	2705	142	1570	255	1593	Statement	OTHER
123	2778	2778	1073	1580	1089	1606	e	OTHER
124	2780	2784	1100	1579	1168	1608	.file	OTHER
125	2786	2790	5	1598	47	1619	Cuppy	OTHER
126	2792	2792	51	1598	64	1619	C	OTHER
127	2794	2796	68	1598	95	1619	For	OTHER
128	2798	2807	99	1597	206	1620	EMPLOYEE'S	OTHER
129	2809	2816	210	1597	298	1620	RECORDS.	OTHER
130	2818	2821	302	1597	344	1619	(See	OTHER
131	2823	2828	352	1598	393	1619	istice	OTHER
132	2830	2831	397	1598	417	1618	te	OTHER
133	2871	2874	925	1592	973	1612	FAST	OTHER
134	2876	2878	979	1593	1013	1612	Use	OTHER
135	2880	2886	6	1622	82	1640	Emilyce	OTHER
136	2888	2889	85	1622	104	1640	of	OTHER
137	2891	2893	110	1621	136	1640	the	OTHER
138	2895	2898	139	1620	177	1640	back	OTHER
139	2900	2901	182	1620	199	1640	of	OTHER
140	2903	2906	202	1619	243	1640	Copy	OTHER
141	2908	2910	248	1619	276	1640	B.J	OTHER
