	26	36	315	23	466	46	403-55-9637	ssnOfEmployee
71	1223	1230	725	1050	836	1075	144645.7	OTHER
72	1248	1254	1051	1050	1147	1074	4194.73	OTHER
73	1305	1313	725	1102	848	1126	142194.10	OTHER
74	1330	1337	1049	1099	1162	1124	144645.7	OTHER
75	1344	1350	65	1151	166	1176	1869774	OTHER
76	1413	1415	1051	1151	1089	1173	237	OTHER
77	1423	1427	64	1223	149	1253	Kayla	OTHER
78	1429	1435	161	1225	275	1253	Simmons	OTHER
79	1467	1469	726	1211	760	1231	240	OTHER
80	1490	1493	1051	1209	1103	1231	4550	OTHER
81	1500	1503	67	1262	134	1292	7001	OTHER
82	1505	1510	145	1263	247	1292	Foster	OTHER
83	1512	1520	258	1264	406	1292	Stravenue	OTHER
84	1522	1526	417	1263	501	1291	Suite	OTHER
85	1528	1530	514	1262	561	1291	568	OTHER
86	1569	1571	1051	1264	1090	1285	210	OTHER
87	1578	1581	65	1302	133	1332	Lake	OTHER
88	1583	1589	144	1301	260	1332	Lindsey	OTHER
89	1591	1592	290	1301	325	1331	TX	OTHER
90	1594	1603	354	1301	516	1331	82541-8343	OTHER
91	1673	1673	1005	1322	1022	1348	D	OTHER
92	1675	1677	1049	1320	1089	1348	DES	OTHER
93	1691	1700	134	1454	269	1479	487-41-141	OTHER
94	1709	1716	346	1454	461	1479	94960.51	box16StateWagesTips
95	1721	1726	540	1452	623	1478	3010.6	box17StateIncomeTax
96	1730	1738	724	1452	851	1480	177290.52	OTHER
97	1744	1751	928	1453	1039	1478	26684.65	OTHER
98	1763	1772	132	1503	271	1531	234-68-420	OTHER
99	1781	1787	346	1504	444	1532	87659.9	OTHER
100	1793	1799	541	1504	641	1531	4035.36	OTHER
101	1801	1809	724	1502	854	1531	164920.97	OTHER
102	1815	1821	928	1504	1025	1532	20171.1	OTHER
103	1834	1837	139	1539	206	1563	Wage	OTHER
104	1839	1841	210	1539	257	1563	and	OTHER
105	1843	1845	264	1539	305	1563	Tax	OTHER
106	1863	1866	550	1543	700	1595	2019	OTHER
107	1868	1871	4	1575	35	1592	from	OTHER
108	1873	1874	48	1574	76	1593	wa	OTHER
109	1879	1887	142	1570	257	1592	Statement	OTHER
110	1942	1942	1072	1579	1089	1606	e	OTHER
111	1944	1944	1099	1579	1114	1607	-	OTHER
112	1946	1949	1119	1579	1168	1608	file	OTHER
