	13	22	309	83	451	129	50-0626121	einEmployerIdentificationNumber
64	1619	1627	236	1077	367	1123	Erikaport	OTHER
65	1629	1630	386	1100	423	1132	NV	OTHER
66	1632	1641	432	1107	574	1156	47552-0275	OTHER
67	1663	1669	821	1049	925	1089	80716.7	OTHER
68	1722	1729	816	1099	932	1143	57112.16	OTHER
69	1746	1752	1081	1091	1180	1128	8372.33	OTHER
70	1754	1759	140	1147	229	1183	819682	OTHER
71	1805	1812	806	1150	922	1190	09592.20	OTHER
72	1828	1834	1074	1142	1174	1177	4369.08	OTHER
73	1887	1894	798	1199	911	1242	57112.16	OTHER
74	1914	1920	1129	1201	1227	1239	2590.10	OTHER
75	1923	1928	126	1218	230	1261	Donald	OTHER
76	1930	1936	238	1236	354	1279	Andrews	OTHER
77	1938	1942	123	1257	209	1298	26904	OTHER
78	1944	1946	214	1272	271	1308	Max	OTHER
79	1948	1954	280	1283	392	1328	Landing	OTHER
80	2015	2022	1118	1248	1234	1293	89592.20	OTHER
81	2024	2032	114	1294	263	1347	Davidview	OTHER
82	2034	2035	288	1324	328	1356	NV	OTHER
83	2074	2076	783	1308	827	1336	104	OTHER
84	2100	2102	1113	1302	1159	1331	205	OTHER
85	2120	2129	386	1338	548	1391	70287-4302	OTHER
86	2177	2177	1059	1350	1080	1378	2	OTHER
87	2179	2182	1104	1358	1156	1391	4143	OTHER
88	2257	2257	1049	1399	1077	1436	7	OTHER
89	2259	2261	1094	1405	1135	1444	700	OTHER
90	2265	2274	158	1457	299	1502	139-89-185	OTHER
91	2297	2304	373	1490	485	1532	40106.93	box16StateWagesTips
92	2308	2317	151	1506	294	1554	109-82-815	OTHER
93	2343	2349	560	1518	661	1561	2274.24	box17StateIncomeTax
94	2353	2356	152	1541	221	1575	Wage	OTHER
95	2358	2360	222	1552	272	1583	and	OTHER
96	2362	2364	275	1562	317	1590	Tax	OTHER
97	2369	2376	363	1541	478	1584	41860.25	OTHER
98	2397	2404	745	1546	858	1590	90534.56	OTHER
99	2442	2448	551	1568	654	1613	2069.20	OTHER
100	2468	2475	944	1578	1060	1622	14054.10	OTHER
101	2513	2516	552	1610	710	1682	2019	OTHER
102	2522	2529	737	1598	851	1644	59478-02	OTHER
103	2593	2600	936	1630	1048	1675	13171-42	OTHER
104	2672	2672	1067	1728	1089	1759	e	OTHER
105	2674	2674	1094	1733	1111	1763	.	OTHER
106	2676	2679	1112	1736	1166	1771	file	OTHER
