	36	46	314	24	466	46.1	311-89-7688	ssnOfEmployee
42	1220	1226	538	599	636	623	5054.94	OTHER
43	1228	1235	726	598	836	624	137328.0	OTHER
44	1243	1250	928	598	1041	623	21499.56	OTHER
45	1263	1265	1114	601	1154	623	Ann	OTHER
46	1267	1271	1167	600	1229	625	Plaza	OTHER
47	1288	1297	132	648	270	674	016-14-513	OTHER
48	1314	1320	348	649	443	675	60775.2	OTHER
49	1332	1338	541	647	642	675	4103.13	OTHER
50	1340	1348	726	647	849	675	143954.73	OTHER
51	1355	1362	928	648	1039	675	17440.77	OTHER
52	1380	1383	140	683	206	708	Wage	OTHER
53	1385	1387	211	684	258	708	and	OTHER
54	1389	1391	266	684	304	708	Tax	OTHER
55	1424	1427	550	690	702	740	2019	taxYear
56	1429	1432	5	723	35	740	form	OTHER
57	1434	1435	49	723	77	741	WE	OTHER
58	1445	1453	141	715	255	739	Statement	OTHER
59	1455	1458	6	745	46	765	Copy	OTHER
60	1460	1463	50	745	96	765	B-To	OTHER
61	1465	1466	100	745	123	765	Be	OTHER
62	1468	1473	126	745	162	765	Filled	OTHER
63	1475	1479	166	745	202	766	withh	OTHER
64	1481	1490	206	745	296	766	Empinger's	OTHER
65	1492	1498	299	744	378	766	FEDERAL	OTHER
66	1500	1502	383	744	412	766	Tax	OTHER
67	1504	1510	415	744	471	766	Returns	OTHER
68	1551	1561	313	898	467	922	311-89-7688	OTHER
69	1568	1577	66	949	204	973	04-4091485	OTHER
70	1632	1640	724	949	852	973	128754.19	OTHER
71	1651	1658	988	950	1096	971	40015.89	OTHER
72	1666	1670	65	1001	138	1025	Scott	OTHER
73	1672	1674	149	1001	193	1025	LLC	OTHER
74	1676	1678	205	1001	251	1025	and	OTHER
75	1680	1683	261	1001	316	1025	Sons	OTHER
76	1729	1736	725	1000	837	1025	109518.2	OTHER
77	1748	1754	987	1000	1085	1023	8378.14	OTHER
78	1762	1764	67	1034	111	1059	553	OTHER
79	1766	1771	119	1035	207	1060	Marren	OTHER
80	1773	1778	219	1036	307	1059	Course	OTHER
81	1780	1784	318	1034	390	1059	Suite	OTHER
82	1786	1788	402	1033	443	1059	807	OTHER
83	1824	1832	725	1050	851	1075	140371.75	OTHER
84	1848	1854	1051	1050	1145	1075	4070.78	OTHER
85	1862	1870	65	1066	196	1093	Levisland	OTHER
86	1872	1873	204	1069	237	1093	WI	OTHER
87	1878	1887	303	1067	442	1093	24625-0241	OTHER
88	1958	1965	726	1102	835	1126	109518.2	OTHER
89	1983	1991	1049	1101	1177	1126	140371.75	OTHER
90	2000	2006	67	1153	164	1175	4968400	OTHER
91	2088	2090	1050	1153	1092	1174	174	OTHER
92	2100	2103	67	1223	132	1252	Troy	OTHER
93	2109	2113	209	1225	290	1253	Casey	OTHER
94	2162	2164	726	1212	760	1231	284	OTHER
95	2188	2191	1049	1209	1102	1232	5108	OTHER
96	2200	2202	66	1263	117	1292	959	OTHER
97	2204	2209	131	1264	228	1291	Tammie	OTHER
98	2211	2215	241	1264	323	1292	Ranch	OTHER
99	2287	2289	1050	1262	1089	1287	168	OTHER
100	2298	2306	64	1302	212	1331	Wolfebury	OTHER
101	2308	2309	223	1302	261	1331	MA	OTHER
102	2311	2320	275	1302	435	1331	40518-2650	OTHER
103	2416	2418	1050	1321	1091	1349	689	OTHER
104	2515	2517	1049	1377	1088	1406	717	OTHER
105	2533	2542	133	1455	271	1478	446-28-936	OTHER
106	2557	2564	348	1454	460	1478	69934.53	box16StateWagesTips
107	2579	2585	540	1455	635	1478	5054.94	box17StateIncomeTax
108	2587	2594	725	1454	837	1479	137328.0	OTHER
109	2603	2610	929	1454	1040	1479	21499.56	OTHER
110	2622	2624	1115	1457	1153	1479	Ann	OTHER
111	2626	2630	1167	1456	1228	1479	Plaza	OTHER
112	2646	2655	131	1505	270	1531	016-14-513	OTHER
113	2669	2675	347	1506	442	1532	60775.2	OTHER
114	2691	2697	542	1505	636	1531	4103.13	OTHER
115	2699	2707	726	1503	850	1531	143954.73	OTHER
116	2715	2722	928	1505	1039	1532	17440.77	OTHER
117	2739	2742	139	1539	207	1563	Wage	OTHER
118	2744	2746	211	1540	258	1563	and	OTHER
119	2748	2750	266	1539	305	1563	Tax	OTHER
120	2783	2786	550	1544	697	1596	2019	OTHER
121	2788	2790	4	1575	31	1593	for	OTHER
122	2792	2793	49	1574	77	1593	Wa	OTHER
123	2803	2811	142	1570	256	1593	Statement	OTHER
124	2883	2883	1073	1580	1089	1606	e	OTHER
125	2885	2889	1100	1579	1169	1608	.file	OTHER
126	2891	2894	5	1598	47	1619	Copy	OTHER
127	2896	2896	51	1598	64	1619	C	OTHER
128	2898	2900	68	1598	96	1619	For	OTHER
129	2902	2911	100	1597	206	1620	EMPLOYEE'S	OTHER
130	2913	2920	209	1597	299	1620	RECORDS.	OTHER
131	2922	2925	303	1597	338	1619	(See	OTHER
132	2927	2932	342	1598	394	1619	Notice	OTHER
133	2934	2935	398	1598	417	1618	to	OTHER
134	2974	2977	925	1592	973	1612	FAST	OTHER
135	2979	2981	979	1593	1012	1612	Use	OTHER
136	2983	2989	6	1622	83	1640	Emilyce	OTHER
137	2991	2992	86	1622	104	1640	of	OTHER
138	2994	2996	110	1621	136	1640	the	OTHER
139	2998	3001	139	1620	177	1640	back	OTHER
140	3003	3004	182	1620	200	1640	of	OTHER
141	3006	3009	203	1619	243	1640	Copy	OTHER
142	3011	3012	248	1619	277	1640	BY	OTHER
